training loss,precision,recall,f1 score,elapsed time,accuracy
0.494,0.47200000000000003,0.885,0.606,13.01,0.898
0.514,0.46,0.879,0.595,13.052999999999999,0.895
0.515,0.45799999999999996,0.873,0.5920000000000001,13.032,0.892
0.5,0.45399999999999996,0.88,0.5920000000000001,13.09,0.893
0.485,0.474,0.8859999999999999,0.609,13.056,0.9
0.491,0.466,0.8859999999999999,0.602,13.005,0.8959999999999999
0.512,0.461,0.8759999999999999,0.596,13.036,0.894
0.5,0.457,0.8809999999999999,0.593,13.055,0.892
0.485,0.469,0.882,0.605,12.995,0.898
0.512,0.45799999999999996,0.8809999999999999,0.594,13.005,0.893
0.49,0.469,0.884,0.605,13.087,0.898
0.493,0.469,0.8859999999999999,0.606,13.017000000000001,0.898
0.509,0.461,0.878,0.596,12.945,0.895
0.484,0.47100000000000003,0.887,0.607,13.119000000000002,0.898
0.49200000000000005,0.467,0.883,0.602,13.007,0.897
0.5,0.467,0.8809999999999999,0.602,13.082,0.897
0.47600000000000003,0.47700000000000004,0.887,0.612,12.994000000000002,0.9009999999999999
0.494,0.47200000000000003,0.883,0.607,13.057,0.899
0.496,0.465,0.8809999999999999,0.6,12.999,0.895
0.506,0.461,0.879,0.596,13.015999999999998,0.894
0.49700000000000005,0.473,0.8809999999999999,0.606,12.91,0.898
0.48700000000000004,0.47200000000000003,0.884,0.606,12.814,0.898
0.49700000000000005,0.47200000000000003,0.882,0.607,12.932,0.899
0.495,0.469,0.88,0.603,12.800999999999998,0.897
0.474,0.48100000000000004,0.888,0.616,13.002,0.903
0.49,0.47700000000000004,0.8809999999999999,0.61,13.017000000000001,0.899
0.493,0.47600000000000003,0.882,0.61,13.118,0.9
0.48100000000000004,0.47,0.8859999999999999,0.606,13.009,0.898
0.489,0.46299999999999997,0.8859999999999999,0.6,13.007,0.895
0.495,0.46399999999999997,0.883,0.6,13.136,0.8959999999999999
0.485,0.478,0.884,0.611,12.999,0.899
0.46799999999999997,0.479,0.888,0.615,12.905999999999999,0.902
0.48200000000000004,0.484,0.887,0.618,13.055,0.903
0.48,0.474,0.8859999999999999,0.61,13.046,0.9
0.485,0.47700000000000004,0.882,0.611,13.03,0.9009999999999999
0.48,0.47600000000000003,0.8859999999999999,0.611,13.095999999999998,0.9009999999999999
