training loss,training accuracy,f1 score,elapsed time
0.5,0.8959999999999999,0.597,15.113
0.511,0.893,0.589,15.211
0.502,0.894,0.594,15.315
0.511,0.895,0.593,15.103
0.517,0.8909999999999999,0.584,15.074000000000002
0.494,0.898,0.604,15.134
0.487,0.898,0.603,14.895
0.508,0.893,0.588,15.058
0.513,0.8959999999999999,0.595,14.952
0.505,0.8959999999999999,0.598,15.19
0.501,0.8959999999999999,0.596,15.23
0.482,0.899,0.605,15.178
0.499,0.895,0.596,15.522
0.511,0.893,0.5920000000000001,15.592
0.4920000000000001,0.898,0.605,15.231
0.52,0.895,0.593,14.953
0.4920000000000001,0.898,0.603,15.19
0.5,0.8959999999999999,0.598,15.37
0.483,0.898,0.602,15.594
0.465,0.904,0.618,15.635
0.502,0.897,0.599,15.528
0.503,0.897,0.6,15.196
0.484,0.899,0.604,15.223
0.482,0.899,0.608,15.215
0.4970000000000001,0.8959999999999999,0.597,15.158
0.478,0.902,0.614,15.087
0.499,0.897,0.601,15.309
0.489,0.9,0.609,15.318
0.479,0.901,0.61,15.111
0.482,0.899,0.605,14.885
0.472,0.9,0.608,14.893
0.495,0.899,0.604,14.913
0.48700000000000004,0.899,0.604,14.185
0.498,0.897,0.599,13.512
0.5,0.897,0.6,13.280999999999999
0.486,0.9009999999999999,0.611,13.083
0.484,0.902,0.615,12.937999999999999
0.498,0.898,0.603,12.975
0.494,0.899,0.603,12.805
0.484,0.9,0.609,12.935
0.485,0.899,0.606,12.772
0.489,0.9,0.607,12.787
0.475,0.899,0.606,12.905
0.5,0.898,0.602,12.785
0.473,0.9009999999999999,0.611,12.625
0.474,0.902,0.614,12.877
0.49200000000000005,0.898,0.604,12.87
0.49200000000000005,0.899,0.606,13.315
0.47600000000000003,0.904,0.62,12.687000000000001
0.49,0.9,0.61,12.743
0.47700000000000004,0.902,0.612,12.915999999999999
0.479,0.9,0.608,12.853
0.485,0.9009999999999999,0.611,12.907
0.483,0.902,0.611,12.812000000000001
0.479,0.903,0.613,12.892000000000001
0.483,0.903,0.615,12.859000000000002
0.473,0.902,0.614,12.809000000000001
0.47,0.9059999999999999,0.623,12.663
0.48700000000000004,0.9009999999999999,0.61,12.673
0.47700000000000004,0.902,0.614,12.713
0.451,0.9079999999999999,0.629,12.675999999999998
0.46299999999999997,0.903,0.618,12.652000000000001
0.48,0.902,0.616,12.508
0.46799999999999997,0.905,0.621,12.704
0.46399999999999997,0.9059999999999999,0.627,12.595
0.465,0.904,0.622,12.743
0.46799999999999997,0.904,0.62,12.713
0.451,0.905,0.624,12.632
0.46399999999999997,0.904,0.62,12.66
0.45399999999999996,0.907,0.626,12.620999999999999
0.467,0.905,0.625,12.617
0.457,0.9079999999999999,0.63,12.597999999999999
0.45799999999999996,0.9059999999999999,0.626,12.575999999999999
0.469,0.903,0.616,12.725
0.451,0.9079999999999999,0.63,12.626
0.461,0.907,0.626,12.684000000000001
0.46799999999999997,0.905,0.622,12.66
0.452,0.9059999999999999,0.627,12.55
0.46,0.9059999999999999,0.626,12.607999999999999
0.45799999999999996,0.905,0.624,12.682
0.45899999999999996,0.9079999999999999,0.632,12.645999999999999
0.44799999999999995,0.907,0.631,12.595
0.462,0.907,0.627,12.638
0.46299999999999997,0.909,0.633,12.857000000000001
0.465,0.9079999999999999,0.628,12.800999999999998
0.45299999999999996,0.907,0.626,12.753
0.446,0.9079999999999999,0.633,12.741
0.46399999999999997,0.9079999999999999,0.63,12.817
0.42700000000000005,0.9129999999999999,0.6459999999999999,12.738
0.46399999999999997,0.9059999999999999,0.624,12.732999999999999
0.46,0.9079999999999999,0.629,12.814
0.461,0.907,0.626,13.157
0.44799999999999995,0.912,0.64,12.745999999999999
0.456,0.909,0.631,12.714
